Nome do item,Origem / mídia da sessão,Sessões,Itens vistos,Itens adicionados ao carrinho,Itens comprados,Receita do item
SAIA PREGA - CI250800 (VERDE (Ageve Green TCX) (18-5806), G),google / cpc,184,21,0,0,0
REGATA DECOTE QUADRADO - CSI250831 (BRANCO (off white), G),google / cpc,183,32,0,0,0
VESTIDO TUBO - CI250782 (PRETO (Raven TC) (19-0000), G),INSTAGRAM / LINKTREE,182,17,1,0,0
VESTIDO MIDI REGATA - CAV261771 (BEGE (Smoke Gray TC) (14-1209), G),google / cpc,181,7,0,0,0
MACACÃO JUSTO OMBRO A OMBRO - CI251020 (PRETO (Raven TC), G),google / cpc,180,51,6,1,106.979998
TOP BICOLOR - CV261451.1 (BEGE (Taos Taupe TC) (15-1119), G),google / cpc,180,28,0,0,0
BLUSA COM RENDA - CI250850 (PRETO (Raven TC), G),facebook / cpc02_aberto_top/estados_all,179,28,2,0,0
CALÇA DE ALFAIATARIA COM CÓS DUPLO - CAV250138 (BEGE (Birch TC) (13-0905), G),google / cpc,178,24,0,0,0
COORDENADO COLETE E CALÇA - CSI250692 (BEGE (Gray Sand TC), G),(direct) / (none),176,67,0,0,0
SAIA TORCIDA - CI250860 (BEGE (Chanterelle TC) (16-1414), G),google / cpc,176,12,0,0,0
CALÇA PAETE - CV261465.2 (VERDE (Cabbage TC) (13-5714), G),google / cpc,175,11,0,0,0
SAIA CURTA ALFAIATARIA LISA - CV250183 (BEGE (Birch TC) (13-0905), G),google / cpc,175,9,0,0,0
SAIA MIDI COM DETALHE FLOR - CV261486.2 (Marshmallow TC (11-4300), G),google / cpc,175,23,0,0,0
VESTIDO CURTO BORDADO - CV261363 (Branco de Neve (off white) (11-0602), G),google / cpc,175,15,0,0,0
VESTIDO PARKA - CI250873 (BEGE (Gray Sand TC) (13-1010), G),(direct) / (none),173,16,4,0,0
COORDENADO CAMISA E SHORT - CV261479.C (Branco de Neve (off white) (11-0602), G),google / cpc,172,21,0,0,0
CALÇA ACETINADA - CI250865 (Raspberry Rose TC (18-2333), G),google / cpc,170,5,0,0,0
VESTIDO PARKA - CI250873 (BEGE (Gray Sand TC) (13-1010), G),INSTAGRAM / LINKTREE,170,24,0,0,0
CAMISA DE RISCA - CV261471.1 (CHÁ VERDE (Green Tea TC) (15-6428), G),google / cpc,168,37,0,0,0
COORDENADO TOP E CALÇA - CV261461.C (Marshmallow TC (11-4300), G),(direct) / (none),167,23,0,0,0
VESTIDO CURTO ASSIMÉTRICO - CAV261651 (BEGE (Jet Stream) (11-0605), G),facebook / cpc01_adv,167,188,0,0,0
MACACÃO ALFAIATRIA COM LAPELA - CSI250684 (Gray Sand TC (13-1010), G),facebook / cpc02_aberto_top/estados_all,166,13,0,0,0
SAIA PONTAS - CI261884 (PRETO (Raven TC) (19-0000), G),google / cpc,165,1,0,0,0
VESTIDO COM ABERTURA COSTAS - CAV261649 (BEGE (Jet Stream) (11-0605), G),google / cpc,165,31,0,0,0
VESTIDO MANGA LONGA CURTO - CI262059 (MARROM (Meerkat (16-1438), G),INSTAGRAM / LINKTREE,164,4,0,0,0
CAMISA ESTAMPADA (CAI251087) - CAI251087.1 (CAI25R001 MONO ALT11 - CREPE - SAT P (CC0119-E), G),google / cpc,162,39,1,0,0
COORDENADO BLUSA E CALÇA - CSI250850 (PRETO (Raven TC), G),edrone / email,161,67,9,0,0
COORDENADO COLETE E CALÇA - CSI250692 (BEGE (Gray Sand TC), G),edrone / email,161,56,0,0,0
CALÇA WIDE COM DETALHE BOLSO - CV261523 (MARROM (Macchiato TCX) (17-1221), G),google / cpc,160,48,0,0,0
REGATA BORDADA - CV261339 (Branco de Neve (off white) (11-0602), G),google / cpc,160,37,0,0,0
SAIA (CV261340) - CV261336.2 (BRANCO (Bright White TC) (11-0601), G),google / cpc,160,24,0,0,0
BLUSA ML COM AMARRAÇÃO - CI261894 (BEGE (Ivory Cream TC) (13-1011), G),INSTAGRAM / LINKTREE,159,3,0,0,0
CAMISA COM BOTÕES - CI262058 (BRANCO (off white) (11-0602), G),INSTAGRAM / LINKTREE,159,0,0,0,0
REGATA COM VIÉS - CV261293 (BRANCO (Bright White TC) (11-0601), G),google / cpc,159,12,0,0,0
BLUSA DEALHADA - CI261823 (PRETO (Raven TC) (19-0000), G),google / cpc,158,1,0,0,0
CARDIGAN CURTO RETILÍNEA - CRI250045 (BRANCO (off white) (11-0602), G),google / cpc,158,26,3,0,0
COORDENADO CAMISA E SHORT - CV261459.C (Marshmallow TC (11-4300), G),google / cpc,158,33,0,0,0
VESTIDO - CV261273 (AMARELO (Canary Yellow TC) (12-0633), G),google / cpc,158,103,0,0,0
VESTIDO CURTO MANGA LONGA EVASÊ - CV261482 (Branco de Neve (off white) (11-0602), G),google / cpc,156,5,0,0,0
COORDENADO TOP E CALÇA - CV261461.C (Marshmallow TC (11-4300), G),edrone / email,154,18,0,0,0
VESTIDO TOMARA QUE CAIA BALONÊ - CI262069 (BEGE (Seedpearl TC) (12-0703), G),(direct) / (none),154,10,0,0,0
